MeasureItem,Month,Year,Category,Area,MeasureItemID,CreationDate,Representativity,ProvidedValue,ProvidedValueCode
Monthly Domestic Values,1,2024,Biomass,AT,B01,2024-12-06 14:45:58,100,120.907,
Monthly Domestic Values,2,2024,Biomass,AT,B01,2024-12-06 14:45:58,100,132.038,
Monthly Domestic Values,3,2024,Biomass,AT,B01,2024-12-06 14:45:58,100,172.966,
Monthly Domestic Values,4,2024,Biomass,AT,B01,2024-12-06 14:45:58,100,194.558,
Monthly Domestic Values,5,2024,Biomass,AT,B01,2024-12-06 14:45:58,100,189.62,
Monthly Domestic Values,6,2024,Biomass,AT,B01,2024-12-06 14:45:58,100,131.839,
Monthly Domestic Values,7,2024,Biomass,AT,B01,2024-12-06 14:45:58,100,117.058,
Monthly Domestic Values,8,2024,Biomass,AT,B01,2024-12-06 14:45:58,100,106.659,
Monthly Domestic Values,9,2024,Biomass,AT,B01,2024-12-06 14:45:58,100,160.154,
Monthly Domestic Values,1,2024,Consumption of Hydro Pumped Storage,AT,(B10),2024-12-06 14:53:24,100,204.2097,
Monthly Domestic Values,2,2024,Consumption of Hydro Pumped Storage,AT,(B10),2024-12-06 14:53:24,100,111.1274,
Monthly Domestic Values,3,2024,Consumption of Hydro Pumped Storage,AT,(B10),2024-12-06 14:53:24,100,124.5871,
Monthly Domestic Values,4,2024,Consumption of Hydro Pumped Storage,AT,(B10),2024-12-06 14:53:24,100,169.5704,
Monthly Domestic Values,5,2024,Consumption of Hydro Pumped Storage,AT,(B10),2024-12-06 14:53:24,100,205.3995,
Monthly Domestic Values,6,2024,Consumption of Hydro Pumped Storage,AT,(B10),2024-12-06 14:53:24,100,311.3645,
Monthly Domestic Values,7,2024,Consumption of Hydro Pumped Storage,AT,(B10),2024-12-06 14:53:24,100,241.6884,
Monthly Domestic Values,8,2024,Consumption of Hydro Pumped Storage,AT,(B10),2024-12-06 14:53:24,100,250.6774,
Monthly Domestic Values,9,2024,Consumption of Hydro Pumped Storage,AT,(B10),2024-12-06 14:53:24,100,207.7291,
Monthly Domestic Values,1,2024,Fossil Gas,AT,B04,2024-12-06 14:45:58,100,1208.7151,
Monthly Domestic Values,2,2024,Fossil Gas,AT,B04,2024-12-06 14:45:58,100,641.9592,
Monthly Domestic Values,3,2024,Fossil Gas,AT,B04,2024-12-06 14:45:58,100,492.9559,
Monthly Domestic Values,4,2024,Fossil Gas,AT,B04,2024-12-06 14:45:58,100,205.9168,
Monthly Domestic Values,5,2024,Fossil Gas,AT,B04,2024-12-06 14:45:58,100,11.8061,
Monthly Domestic Values,6,2024,Fossil Gas,AT,B04,2024-12-06 14:45:58,100,36.8992,
Monthly Domestic Values,7,2024,Fossil Gas,AT,B04,2024-12-06 14:45:58,100,16.4726,
Monthly Domestic Values,8,2024,Fossil Gas,AT,B04,2024-12-06 14:45:58,100,79.1548,
Monthly Domestic Values,9,2024,Fossil Gas,AT,B04,2024-12-06 14:45:58,100,88.8418,
Monthly Domestic Values,1,2024,Fossil Hard coal,AT,B05,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,2,2024,Fossil Hard coal,AT,B05,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,3,2024,Fossil Hard coal,AT,B05,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,4,2024,Fossil Hard coal,AT,B05,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,5,2024,Fossil Hard coal,AT,B05,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,6,2024,Fossil Hard coal,AT,B05,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,7,2024,Fossil Hard coal,AT,B05,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,8,2024,Fossil Hard coal,AT,B05,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,9,2024,Fossil Hard coal,AT,B05,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,1,2024,Fossil Oil,AT,B06,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,2,2024,Fossil Oil,AT,B06,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,3,2024,Fossil Oil,AT,B06,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,4,2024,Fossil Oil,AT,B06,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,5,2024,Fossil Oil,AT,B06,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,6,2024,Fossil Oil,AT,B06,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,7,2024,Fossil Oil,AT,B06,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,8,2024,Fossil Oil,AT,B06,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,9,2024,Fossil Oil,AT,B06,2024-12-06 14:45:58,100,0,
Monthly Domestic Values,1,2024,Geothermal,AT,B09,2024-12-06 14:45:58,100,0.05208,
Monthly Domestic Values,2,2024,Geothermal,AT,B09,2024-12-06 14:45:58,100,0.04872,
Monthly Domestic Values,3,2024,Geothermal,AT,B09,2024-12-06 14:45:58,100,0.05208,
Monthly Domestic Values,4,2024,Geothermal,AT,B09,2024-12-06 14:45:58,100,0.0504,
Monthly Domestic Values,5,2024,Geothermal,AT,B09,2024-12-06 14:45:58,100,0.05208,
Monthly Domestic Values,6,2024,Geothermal,AT,B09,2024-12-06 14:45:58,100,0.0504,
Monthly Domestic Values,7,2024,Geothermal,AT,B09,2024-12-06 14:45:58,100,0.05208,
Monthly Domestic Values,8,2024,Geothermal,AT,B09,2024-12-06 14:45:58,100,0.05208,
